name,lat,lon,numforklifts,numtrucks
Paris,48.91456620050255,2.3439796837955127,1,5
Brussels,50.912200321188166,4.290114937136711,1,5
Rotterdam,51.95838187674584,4.4780329613645184,1,5
Berlin,52.60499817382886,13.327507117418552,1,5
Hamburg,53.63413015961677,9.855643811397355,1,5
Prague,50.15850822645274,14.425956036409216,1,5
Milan,45.462706860848556,9.181223926235676,1,5
Vienna,48.27874353568112,16.27097844806921,1,5
Lyon,45.87799338112367,4.7930652389427335,1,5
Munich,48.25042349374165,11.65947203869691,1,5